Depth,Salinity
51.5093,35.9922203281333
51.6265,35.9944307498667
51.7437,35.9966411716
51.8609,36.0033823605
51.9781,36.0079999761
52.0953,36.0126175917
52.2125,36.0172352073
52.3297,36.01720223085
52.4469,36.0171692544
52.5641,36.0281515785
52.6813,36.0391339026
52.76654,36.0501162267
52.85178,36.0510539995
52.93702,36.06092889315
53.02226,36.0708037868
53.1075,36.0737882485
53.19274,36.0767727102
53.27798,36.0797571719
53.36322,36.08392546905
53.44846,36.0880937662
53.5337,36.0936421198
53.67355,36.0991904734
53.8134,36.104738827
53.95325,36.1155620219
54.0931,36.1181431018
54.19432,36.1207241817
54.29554,36.1233052616
54.39676,36.1294340563
54.49798,36.135562851
54.5992,36.1360930066333
54.70044,36.1366231622667
54.80168,36.1371533179
54.90292,36.1376283233
55.00416,36.1372424876
55.1054,36.1368566519
55.20128,36.1364708162
55.29716,36.1353019601
55.39304,36.134133104
55.48892,36.134245705
55.5848,36.134358306
55.718,36.134470907
55.8512,36.13431413055
55.9844,36.1341573541
56.1176,36.1331722687
56.2508,36.1331438126
56.36268,36.1331153565
56.47456,36.1330869004
56.58644,36.132695982
56.69832,36.1323050636
56.8102,36.1323157180667
56.93272,36.1323263725333
57.05524,36.132337027
57.17776,36.1324347598
57.30028,36.1325324926
57.4228,36.13239350465
57.51338,36.1322545167
57.60396,36.13203427645
57.69454,36.1318140362
57.78512,36.1320183039333
57.8757,36.1322225716667
58.01422,36.1324268394
58.15274,36.1322117168
58.29126,36.1319965942
58.42978,36.1313682268
58.5683,36.1314935777667
58.66952,36.1316189287333
58.77074,36.1317442797
58.87196,36.13027385545
58.97318,36.1288034312
59.0744,36.1316758225667
59.21425,36.1345482139333
59.3541,36.1374206053
59.49395,36.1249025171
59.6338,36.1472149778333
59.71904,36.1695274385667
59.80428,36.1918398993
59.88952,36.19231696925
59.97476,36.1927940392
60.06,36.1931568839667
60.16654,36.1935197287333
60.27308,36.1938825735
60.37962,36.1927708566
60.48616,36.1916591397
60.5927,36.1915088289
60.69926,36.1913585181
60.80582,36.1910258936
60.91238,36.1906932691
61.01894,36.1905143041667
61.1255,36.1903353392333
61.22672,36.1901563743
61.32794,36.18960859925
61.42916,36.1890608242
61.53038,36.1890985575
61.6316,36.18907676
61.74348,36.1890549625
61.85536,36.189033165
61.96724,36.18854465285
62.07912,36.1880561407
62.191,36.1881680165333
62.30288,36.1882798923667
62.41476,36.1883917682
62.52664,36.18855907515
62.63852,36.1887263821
62.7504,36.1884017793
62.85694,36.1880771765
62.96348,36.18807801975
63.07002,36.188078863
63.17656,36.1878078863667
63.2831,36.1875369097333
63.35635,36.1872659331
63.4296,36.18735170225
63.50285,36.1874374714
63.5761,36.1871516908
63.69864,36.1868659102
63.82118,36.18695150705
63.94372,36.1870371039
64.06626,36.1871523730333
64.1888,36.1872676421667
64.2847,36.1873829113
64.3806,36.1872455761
64.4765,36.1871082409
64.5724,36.1871379601667
64.6683,36.1871676794333
64.75354,36.1871973987
64.83878,36.1866970019
64.92402,36.1867780132
65.00926,36.1868590245
65.0945,36.1868874984
65.19572,36.1869159723
65.29694,36.1869444462
65.39816,36.18674342075
65.49938,36.1865423953
65.6006,36.1865983279333
65.70182,36.1866542605667
65.80304,36.1867101932
65.90426,36.1871285259
66.00548,36.1872304346
66.1067,36.1873323433
66.19728,36.187434252
66.28786,36.18718693625
66.37844,36.1869396205
66.46902,36.187024146
66.5596,36.1871086715
66.66082,36.187193197
66.76204,36.1867755117
66.86326,36.1868075219
66.96448,36.1868395321
67.0657,36.1867329734667
67.158925,36.1866264148333
67.25215,36.1865198562
67.345375,36.1866234615667
67.4386,36.1867270669333
67.53982,36.1868306723
67.64104,36.1871360551
67.74226,36.1869374039
67.84348,36.1867387527
67.9447,36.1871192263667
68.0033,36.1874997000333
68.0619,36.1878801737
68.1205,36.18731471195
68.1791,36.1867492502
68.2377,36.1867878605667
68.34426,36.1868264709333
68.45082,36.1868650813
68.55738,36.1869392918
68.66394,36.1871914103333
68.7705,36.1874435288667
68.90368,36.1876956474
69.03686,36.1875301976
69.17004,36.1873647478
69.30322,36.1873655353333
69.4364,36.1873663228667
69.51632,36.1873671104
69.59624,36.1869332693
69.67616,36.1873063598
69.75608,36.1876794503
69.836,36.1876531743667
69.93722,36.1876268984333
70.03844,36.1876006225
70.13966,36.18470239645
70.24088,36.1818041704
70.3421,36.1843288487333
70.43266,36.1868535270667
70.52322,36.1893782054
70.61378,36.1962776673
70.70434,36.1962056160333
70.7949,36.1961335647667
70.88548,36.1960615135
70.97606,36.1981637641
71.06664,36.2002660147
71.15722,36.2057071318333
71.2478,36.2111482489667
71.29574,36.2165893661
71.34368,36.2468397698
71.39162,36.24871100545
71.43956,36.2505822411
71.4875,36.2531889639333
71.62735,36.2557956867667
71.7672,36.2584024096
71.90705,36.2507463566667
72.0469,36.2430903037333
72.11616,36.2354342508
72.18542,36.2528480036
72.25468,36.2702617564
72.32394,36.2843970826
72.3932,36.2827952862667
72.47844,36.2811934899333
72.56368,36.2795916936
72.64892,36.28411965905
72.73416,36.2886476245
72.8194,36.2876297125333
72.87268,36.2866118005667
72.92596,36.2855938886
72.97924,36.3017391736
73.03252,36.3015154635
73.0858,36.3012917534
73.18702,36.3010680433
73.28824,36.30163163855
73.38946,36.3021952338
73.49068,36.3046619972333
73.5919,36.3071287606667
73.67714,36.3095955241
73.76238,36.312278905
73.84762,36.3149622859
73.93286,36.3207097568
74.0181,36.3207471639333
74.06072,36.3207845710667
74.10334,36.3208219782
74.14596,36.3253491767
74.18858,36.3298763752
74.2312,36.3297735943667
74.34308,36.3296708135333
74.45496,36.3295680327
74.56684,36.3327340458
74.67872,36.3324533740333
74.7906,36.3321727022667
74.883825,36.3318920305
74.97705,36.3340628955
75.070275,36.3362337605
75.1635,36.3379151912
75.24342,36.3395966219
75.32334,36.3412780526
75.40326,36.342027349
75.48318,36.3427766454
75.5631,36.3435285663
75.62702,36.3442804872
75.69094,36.34472532005
75.75486,36.3451701529
75.81878,36.3461638688333
75.8827,36.3471575847667
